k,therapeutic_area_id,therapeutic_area_name,observed_svd_mass,observed_neuralmf_mass,observed_difference_svd_minus_neuralmf,svd_bootstrap_median,svd_bootstrap_95ci_low,svd_bootstrap_95ci_high,neuralmf_bootstrap_median,neuralmf_bootstrap_95ci_low,neuralmf_bootstrap_95ci_high,difference_bootstrap_median,difference_bootstrap_95ci_low,difference_bootstrap_95ci_high,bootstrap_replicates
500,OTAR_0000014,pregnancy or perinatal disease,0.016147241418193504,0.015214560959884292,0.0009326804583092117,0.016174865503999422,0.013742593098383538,0.018489823706936623,0.015215083146981575,0.01329060909141861,0.017227234130885623,0.0009220496094861546,-0.002079688687180987,0.0038987580916374606,2000
500,OTAR_0000017,reproductive system or breast disease,0.04477479067529203,0.04307392582489315,0.0017008648503988796,0.044637447840899125,0.040027828822734986,0.05034366999979503,0.043011914447551584,0.03988051909759109,0.046465358669841555,0.0015539344468383197,-0.004530059664676998,0.007911017910063043,2000
500,OTAR_0000018,"genetic, familial or congenital disease",0.08962276515119838,0.08567396277727239,0.003948802373925989,0.08958044864376738,0.08277369475705376,0.09692168957695273,0.08569906454720091,0.08070786598314147,0.09088038544352052,0.00407144404605312,-0.004751785162189855,0.012449006891204095,2000
500,OTAR_0000020,nutritional or metabolic disease,0.05300520459141404,0.04880224949640236,0.00420295509501168,0.052892947070350166,0.04752463899772326,0.05872611439821376,0.048773469640037134,0.04479357822841739,0.05290245507486402,0.004101677191840982,-0.0026350551801694127,0.011067734092656944,2000
1000,EFO_0000651,phenotype,0.08657032885389053,0.08483251420014751,0.0017378146537430222,0.08652236027560752,0.0824073026925835,0.0906927322575045,0.08485411604920465,0.08152482616393672,0.0881396898682349,0.0016675623230197612,-0.0034676780551713645,0.007113530565089015,2000
1000,EFO_0002571,medical procedure,0.006858847771534599,0.0057676880785208495,0.0010911596930137492,0.0068463611046444064,0.00515116152330052,0.008532171916171206,0.0057810740222111225,0.004625740007886475,0.006992932557953953,0.001077901704363721,-0.0009469198713373814,0.003143929196246683,2000
1000,EFO_0010282,gastrointestinal disease,0.05420963465177534,0.05052091628351203,0.0036887183682633093,0.05423899386207226,0.04993287067506055,0.059012722318798595,0.050524054230220494,0.04790432514946079,0.053521896573920875,0.003691579733693603,-0.001493183568148297,0.009086439215742972,2000
1000,GO_0008150,biological_process,0.030476590899078417,0.02805628341423692,0.002420307484841497,0.03047364973050432,0.02715685861403738,0.03416292305587724,0.028059987218724092,0.025722779160525264,0.030468908340915406,0.0023925936950399164,-0.0016995780544719872,0.006660078531205274,2000
1000,MONDO_0002025,psychiatric disorder,0.04035998061368544,0.036942059916031895,0.003417920697653544,0.040319782169760766,0.03609741440799131,0.04475016674474053,0.036926508317416895,0.03404937817356618,0.039900055709054603,0.0033125068468892564,-0.0018104459293187495,0.008481460742003719,2000
1000,MONDO_0002051,integumentary system disorder,0.03776735495921242,0.033017564519145545,0.0047497904400668756,0.03787846717235775,0.03338750745070193,0.042652376331977285,0.033008432488892556,0.029986558535040325,0.036122791016333394,0.00485456571599056,-0.0007348381324119057,0.010828896531232696,2000
