seed,method,model,n_seen,n_matched,matching_coverage,auc_conventional,auc_neutralized
8,degree_deciles,NeuralMF,3163,3163,1.0,0.9961745478490878,0.9817333460341969
8,degree_deciles,LightGCN,3163,3163,1.0,0.9888627885918924,0.9706132268166676
8,nearest_caliper,SVD,3163,1478,0.46727790072715775,0.9491736725490124,0.9031537882630406
8,nearest_caliper,NeuralMF,3163,1478,0.46727790072715775,0.9961745478490878,0.942283852845798
8,nearest_caliper,LightGCN,3163,1478,0.46727790072715775,0.9888627885918924,0.9212706524744516
9,log2_bins,SVD,3109,1755,0.5644901897716308,0.9602778060272003,0.9192649410313227
9,log2_bins,NeuralMF,3109,1755,0.5644901897716308,0.9975071077328596,0.8981336190452999
9,log2_bins,LightGCN,3109,1755,0.5644901897716308,0.9908433592344039,0.8707098156670807
9,degree_deciles,SVD,3109,3109,1.0,0.9602778060272003,0.9473543073828448
9,degree_deciles,NeuralMF,3109,3109,1.0,0.9975071077328596,0.9778935825922127
9,degree_deciles,LightGCN,3109,3109,1.0,0.9908433592344039,0.9726436731426756
9,nearest_caliper,SVD,3109,1576,0.5069154068832422,0.9602778060272003,0.9104403939807776
9,nearest_caliper,NeuralMF,3109,1576,0.5069154068832422,0.9975071077328596,0.9243901221366178
9,nearest_caliper,LightGCN,3109,1576,0.5069154068832422,0.9908433592344039,0.901854273493262
