seed,regime,model_a,model_b,auroc_a,auroc_b,delta_auroc_signed_a_minus_b,delta_auroc_abs,ht_100,ht_500,ht_1000
3,matched,lightgcn,graphban,0.8802638293740771,0.9461107605016097,-0.06584693112753259,0.06584693112753259,1.0,0.976,0.901
4,random,svd,neuralmf,0.9443342083167294,0.9950742578178791,-0.05074004950114963,0.05074004950114963,1.0,0.998,0.951
4,matched,svd,neuralmf,0.9084449125166462,0.9007596284429678,0.007685284073678411,0.007685284073678411,1.0,0.998,0.951
4,random,svd,lightgcn,0.9443342083167294,0.987321677449598,-0.04298746913286855,0.04298746913286855,1.0,0.968,0.9339999999999999
4,matched,svd,lightgcn,0.9084449125166462,0.8761471065226851,0.03229780599396104,0.03229780599396104,1.0,0.968,0.9339999999999999
4,random,svd,graphban,0.9443342083167294,0.9970615547163189,-0.052727346399589425,0.052727346399589425,0.99,0.862,0.86
4,matched,svd,graphban,0.9084449125166462,0.9076977550114492,0.0007471575051969381,0.0007471575051969381,0.99,0.862,0.86
4,random,neuralmf,lightgcn,0.9950742578178791,0.987321677449598,0.007752580368281081,0.007752580368281081,1.0,0.496,0.46299999999999997
4,matched,neuralmf,lightgcn,0.9007596284429678,0.8761471065226851,0.024612521920282626,0.024612521920282626,1.0,0.496,0.46299999999999997
4,random,neuralmf,graphban,0.9950742578178791,0.9970615547163189,-0.0019872968984397943,0.0019872968984397943,1.0,0.998,0.876
4,matched,neuralmf,graphban,0.9007596284429678,0.9076977550114492,-0.006938126568481473,0.006938126568481473,1.0,0.998,0.876
4,random,lightgcn,graphban,0.987321677449598,0.9970615547163189,-0.009739877266720876,0.009739877266720876,1.0,0.836,0.622
4,matched,lightgcn,graphban,0.8761471065226851,0.9076977550114492,-0.0315506484887641,0.0315506484887641,1.0,0.836,0.622
