molecule_chembl_id,target_chembl_id,assay_chembl_id,pchembl_value,standard_relation,standard_type
CHEMBL104,CHEMBL5503,CHEMBL6074103,7.49,=,IC50
CHEMBL1023,CHEMBL2061,CHEMBL6115653,7.64,=,EC50
CHEMBL1108,CHEMBL240,CHEMBL766814,7.49,=,IC50
CHEMBL1064,CHEMBL402,CHEMBL839925,8.59,=,Ki
CHEMBL1064,CHEMBL402,CHEMBL832812,7.95,=,IC50
CHEMBL1064,CHEMBL402,CHEMBL832902,7.96,=,IC50
CHEMBL11,CHEMBL228,CHEMBL871866,8.36,=,IC50
CHEMBL1108,CHEMBL240,CHEMBL954102,7.49,=,IC50
CHEMBL11,CHEMBL228,CHEMBL947400,8.16,=,IC50
CHEMBL11,CHEMBL228,CHEMBL947400,8.49,=,Ki
CHEMBL11,CHEMBL228,CHEMBL979826,8.1,=,IC50
CHEMBL11,CHEMBL222,CHEMBL979833,7.13,=,IC50
CHEMBL1108,CHEMBL240,CHEMBL1036648,7.49,=,IC50
CHEMBL1108,CHEMBL240,CHEMBL1023674,7.49,=,IC50
CHEMBL1089,CHEMBL3437,CHEMBL1247376,7.7,=,IC50
CHEMBL11,CHEMBL228,CHEMBL1663607,8.14,=,IC50
CHEMBL1108,CHEMBL240,CHEMBL1676103,7.49,=,IC50
CHEMBL11,CHEMBL228,CHEMBL1816019,9.11,=,Ki
CHEMBL1071,CHEMBL221,CHEMBL1909130,6.07,=,IC50
CHEMBL11,CHEMBL228,CHEMBL2344277,7.54,=,IC50
CHEMBL11,CHEMBL228,CHEMBL2394809,8.7,=,IC50
CHEMBL11,CHEMBL228,CHEMBL2394910,9.28,=,Ki
CHEMBL11,CHEMBL228,CHEMBL2394910,8.96,=,IC50
CHEMBL11,CHEMBL228,CHEMBL2433697,8.17,=,IC50
CHEMBL11,CHEMBL231,CHEMBL3090832,7.57,=,IC50
CHEMBL11,CHEMBL217,CHEMBL3090831,6.39,=,IC50
CHEMBL11,CHEMBL224,CHEMBL3090830,6.66,=,IC50
CHEMBL11,CHEMBL228,CHEMBL3090829,8.46,=,IC50
