init_a,init_b,k,turnover,family,comparison,model_a,model_b,init
1.0,3.0,1000,0.629,Disease-Gene,within,LightGCN,LightGCN,
1.0,4.0,100,0.73,Disease-Gene,within,LightGCN,LightGCN,
1.0,4.0,500,0.688,Disease-Gene,within,LightGCN,LightGCN,
1.0,4.0,1000,0.633,Disease-Gene,within,LightGCN,LightGCN,
2.0,3.0,100,0.72,Disease-Gene,within,LightGCN,LightGCN,
2.0,3.0,500,0.646,Disease-Gene,within,LightGCN,LightGCN,
2.0,3.0,1000,0.624,Disease-Gene,within,LightGCN,LightGCN,
2.0,4.0,100,0.71,Disease-Gene,within,LightGCN,LightGCN,
2.0,4.0,500,0.652,Disease-Gene,within,LightGCN,LightGCN,
2.0,4.0,1000,0.645,Disease-Gene,within,LightGCN,LightGCN,
3.0,4.0,100,0.6599999999999999,Disease-Gene,within,LightGCN,LightGCN,
3.0,4.0,500,0.6639999999999999,Disease-Gene,within,LightGCN,LightGCN,
3.0,4.0,1000,0.638,Disease-Gene,within,LightGCN,LightGCN,
,,100,0.9299999999999999,Disease-Gene,cross_selected,NeuralMF,LightGCN,0.0
,,500,0.882,Disease-Gene,cross_selected,NeuralMF,LightGCN,0.0
,,1000,0.863,Disease-Gene,cross_selected,NeuralMF,LightGCN,0.0
,,100,0.98,Disease-Gene,cross_selected,NeuralMF,LightGCN,1.0
,,500,0.918,Disease-Gene,cross_selected,NeuralMF,LightGCN,1.0
,,1000,0.893,Disease-Gene,cross_selected,NeuralMF,LightGCN,1.0
,,100,0.9299999999999999,Disease-Gene,cross_selected,NeuralMF,LightGCN,2.0
,,500,0.91,Disease-Gene,cross_selected,NeuralMF,LightGCN,2.0
,,1000,0.869,Disease-Gene,cross_selected,NeuralMF,LightGCN,2.0
,,100,0.98,Disease-Gene,cross_selected,NeuralMF,LightGCN,3.0
,,500,0.894,Disease-Gene,cross_selected,NeuralMF,LightGCN,3.0
,,1000,0.868,Disease-Gene,cross_selected,NeuralMF,LightGCN,3.0
,,100,0.9,Disease-Gene,cross_selected,NeuralMF,LightGCN,4.0
,,500,0.886,Disease-Gene,cross_selected,NeuralMF,LightGCN,4.0
,,1000,0.867,Disease-Gene,cross_selected,NeuralMF,LightGCN,4.0
